frame,wrist_x,wrist_y,wrist_z,wrist_visibility,elbow_x,elbow_y,elbow_z,elbow_visibility,shoulder_x,shoulder_y,shoulder_z,shoulder_visibility,hip_x,hip_y,hip_z,hip_visibility,clubhead_y,clubhead_valid,clubhead_y_smooth,address_idx,backswing_start_idx,backswing_top_idx,impact_raw_idx,impact_idx,finish_idx,impact_method,has_3d_data,wrist_x_smooth,wrist_y_smooth,wrist_z_smooth,elbow_x_smooth,elbow_y_smooth,elbow_z_smooth,shoulder_x_smooth,shoulder_y_smooth,shoulder_z_smooth,hip_x_smooth,hip_y_smooth,hip_z_smooth,follow_through_frames,elbow_angle_impact,arm_extension_label,max_speed_frame,max_speed_frames_from_impact,speed_timing_score,backswing_frames,downswing_frames,tempo_ratio,early_extension_score,early_extension_label,overall_score,overall_rating
20,0.2809825837612152,0.004695881623774767,-0.17368796467781067,0.5501308441162109,0.29158979654312134,-0.163895845413208,-0.072036013007164,0.4469723403453827,0.2812917232513428,-0.3548502027988434,-0.029833277687430382,0.9999896287918091,0.0665055364370346,0.003077495377510786,0.10456729680299759,0.9999700784683228,393.9031066894531,1,401.3217424665182,0,15,29,37,37,56,yolo_refine_pm5,True,0.28227866194876194,0.028408526997303698,-0.1588896676188425,0.2932501903602057,-0.15273958160763706,-0.06239396333694462,0.2763247049990156,-0.3538648585478467,-0.030545211419285782,0.06382645240851816,0.0028353181024569863,0.1061702218084109,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
21,0.22488519549369812,-0.03490274399518967,-0.23519665002822876,0.5705146193504333,0.2900660037994385,-0.16542914509773254,-0.10385724902153015,0.47291919589042664,0.28261759877204895,-0.3551597595214844,-0.03213535621762276,0.9999893307685852,0.07034230977296829,0.003905643941834569,0.09841131418943405,0.9999683499336243,381.7084655761719,1,369.1845296223961,0,15,29,37,37,56,yolo_refine_pm5,True,0.21260793503773015,-0.0323282498422833,-0.21979041042782027,0.2770310633239294,-0.1671084790002733,-0.090230347499961,0.2825791551953272,-0.35335879524548874,-0.01796163090815148,0.06945768087392767,0.004174207503508247,0.0984711544144722,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
22,0.14144155383110046,-0.06588375568389893,-0.20325031876564026,0.5681138634681702,0.24616864323616028,-0.17803825438022614,-0.07277597486972809,0.4752969741821289,0.27988263964653015,-0.35454192757606506,0.002951345406472683,0.9999886155128479,0.0687134712934494,0.0053173573687672615,0.09475265443325043,0.9999687075614929,368.6387634277344,1,362.9372253417971,0,15,29,37,37,56,yolo_refine_pm5,True,0.12419241003780856,-0.12264677928760656,-0.19599080156712317,0.23784217593215778,-0.20284145431859169,-0.07169244571455893,0.2812766872701193,-0.35934196199689616,0.014898372681013185,0.06947503167958491,0.005473503377288583,0.09445758518718544,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
23,0.0032230389770120382,-0.2773476541042328,-0.14000974595546722,0.5427913665771484,0.17751888930797577,-0.271206259727478,-0.04286414012312889,0.46677395701408386,0.2790914475917816,-0.3669278025627136,0.06917472183704376,0.9999879598617554,0.06749039888381958,0.007297665346413851,0.09082459658384323,0.9999709129333496,335.45306396484375,1,341.77521478562153,0,15,29,37,37,56,yolo_refine_pm5,True,0.026672110948268164,-0.24545866894047902,-0.15202490524167117,0.18431293964386,-0.2605890362035662,-0.04839234941062476,0.27689328505879374,-0.36819538757914616,0.047963471462329266,0.06762368373927621,0.007014916112114282,0.09202828045402262,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
24,-0.04782014712691307,-0.3813425600528717,-0.10088208317756653,0.5124005079269409,0.1312936395406723,-0.33393657207489014,-0.025276461616158485,0.4419347643852234,0.27516454458236694,-0.3820362687110901,0.06647847592830658,0.9999845623970032,0.06636522710323334,0.008629332296550274,0.0910249724984169,0.9999715089797974,321.7908020019531,1,319.34380522228446,0,15,29,37,37,56,yolo_refine_pm5,True,-0.04514911333985985,-0.37452299183323295,-0.11343079592500421,0.14150139760403416,-0.3288425285191765,-0.03879805929249244,0.2773154491469976,-0.3775500442300527,0.06313562224663444,0.06678995383637297,0.008693639255527946,0.08984883484386269,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
25,-0.08432286232709885,-0.4995937645435333,-0.10872141271829605,0.514773428440094,0.11612610518932343,-0.3962937295436859,-0.06745373457670212,0.452639639377594,0.27830496430397034,-0.3847862780094147,0.03768937289714813,0.9999760389328003,0.06817662715911865,0.010183808393776417,0.08715402334928513,0.9999685883522034,301.82281494140625,1,301.3898155575709,0,15,29,37,37,56,yolo_refine_pm5,True,-0.07477593726833312,-0.4914192983082366,-0.11876739526078822,0.12313799843901689,-0.39193140608923804,-0.07438903798659649,0.2832393958455043,-0.383598198493322,0.031445337015958086,0.06918131134339746,0.010326948216451075,0.0862613132312185,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
26,-0.05805139243602753,-0.541520357131958,-0.14835894107818604,0.517234742641449,0.13611546158790588,-0.42764997482299805,-0.12099259346723557,0.4605347812175751,0.29467424750328064,-0.3829991817474365,-0.015051157213747501,0.9999670386314392,0.07267668098211288,0.011781961657106876,0.08270273357629776,0.9999655485153198,288.12847900390625,1,292.42849150158133,0,15,29,37,37,56,yolo_refine_pm5,True,-0.0626094192931695,-0.5540452244735903,-0.15064710733436415,0.12685226613566997,-0.431600086745762,-0.12845013317252918,0.2915499025867101,-0.3835559416384927,-0.024720866720946078,0.07351187864939376,0.011776285778198932,0.08234901797203797,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
27,-0.03640424832701683,-0.6092352271080017,-0.20047464966773987,0.5196800827980042,0.13805820047855377,-0.46153461933135986,-0.19883722066879272,0.4797509014606476,0.3026706576347351,-0.37914562225341797,-0.09567144513130188,0.9999479055404663,0.07972777634859085,0.013107206672430038,0.0768822655081749,0.9999576210975647,,0,287.16402762276806,0,15,29,37,37,56,yolo_refine_pm5,True,-0.04304201652606332,-0.603381135634014,-0.17784905469133752,0.1360261184828623,-0.46113501134372925,-0.16892091521904595,0.29934580695061475,-0.3805175565537955,-0.06585144313673183,0.07793634491307401,0.012945350481285945,0.0788407180280913,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
28,-0.018810663372278214,-0.6212548613548279,-0.18866664171218872,0.505313515663147,0.14291667938232422,-0.4775809943675995,-0.18358640372753143,0.47894784808158875,0.3023306131362915,-0.3786454498767853,-0.08667770773172379,0.999930739402771,0.08145394176244736,0.01373420562595129,0.07728604972362518,0.9999536275863647,,0,287.3945574079243,0,15,29,37,37,56,yolo_refine_pm5,True,-0.01975466734507965,-0.618196586767833,-0.18305425416855597,0.14234487002804175,-0.47469089854331276,-0.17540722269387488,0.30274774488948664,-0.3790461960293,-0.08431582698332418,0.08064354707797373,0.01360767986625434,0.07726403467711954,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
29,-0.011131557635962963,-0.6308818459510803,-0.15936319530010223,0.49589216709136963,0.14080482721328735,-0.48452913761138916,-0.1440507024526596,0.4767341613769531,0.30016404390335083,-0.37905022501945496,-0.06652973592281342,0.9999238848686218,0.08044522255659103,0.013706551864743233,0.07854568213224411,0.9999542832374573,,0,289.0552179245724,0,15,29,37,37,56,yolo_refine_pm5,True,-0.010242025013126085,-0.6286225489207682,-0.1683301961138136,0.14293240081696296,-0.4853177524748306,-0.15919968414874314,0.3014231650602252,-0.37896831830342637,-0.0775611405039118,0.08113619472299309,0.013812233250410793,0.07723394249166768,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
